case_id,environment,scenario,wind_model,source_mode,source_description,resolution,number_of_source_cells,radionuclide,emission_factor,emission_rate_bq_s,emission_classification,grid_shape,dx_m,dy_m,dz_m,dt_s,total_time_s,max_concentration_bq_m3,final_max_concentration_bq_m3,total_activity_bq,final_total_activity_bq,centroid_x_m,centroid_y_m,centroid_z_m,final_centroid_x_m,final_centroid_y_m,final_centroid_z_m,runtime_s,n_steps,hrtm_profile,max_dose_field,final_max_dose_field,field_file,status,error
Tc99m_Q0.5_PLANAR_OUTDOOR_SHEAR,outdoor,shear,ShearField,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,50.5961737495912,50.5961737495912,0.0,1702.0359904307688,nan,nan,nan,22.19772702319221,14.999999999999996,7.492845175129529,21.024544185000195,12000,,nan,nan,,OK,
Tc99m_Q0.5_PLANAR_OUTDOOR_GUST,outdoor,gust,GustField,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,60.90695963683804,60.78258304025606,0.0,1915.6680551329819,nan,nan,nan,22.008841867247813,15.0,7.500000000934511,21.48406532700028,12000,,nan,nan,,OK,
Tc99m_Q0.5_PLANAR_OUTDOOR_VORTEX,outdoor,vortex,VortexField,planar,planar source (49 cells),high,49,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,201.79093733703343,201.79093733703343,0.0,3714.250609288775,nan,nan,nan,15.000000000005288,15.000000000004432,7.500000110981568,21.09847761200035,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,240.10864143793592,240.10864143793592,0.0,3714.2507300385714,nan,nan,nan,15.0,14.999999999999998,7.50000026896987,62.360487027001,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,196.97615309769128,196.97615309769128,0.0,3698.854706429348,nan,nan,nan,15.00005689178544,14.99877778437626,8.221775059116245,62.741280179998284,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_INDOOR_NORMAL_VENTILATION,indoor,normal_ventilation,IndoorNormalVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,135.1308999678409,135.1308999678409,0.0,3605.7273430318473,nan,nan,nan,14.998997956973305,14.997979361996611,9.2347565107537,62.77080950600066,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_INDOOR_HIGH_VENTILATION,indoor,high_ventilation,IndoorHighVentilation,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,9.634260297156226,9.634260297156226,0.0,468.61410964757084,nan,nan,nan,15.000000000000009,16.994638947752122,10.980895067639105,63.736883427000066,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_OUTDOOR_UNIFORM,outdoor,uniform,UniformField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,32.716902769016755,32.716902769016755,0.0,1868.1859615486812,nan,nan,nan,22.21107582240898,15.0,7.500000002326909,20.843216801999006,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_OUTDOOR_SHEAR,outdoor,shear,ShearField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,29.867885198920018,29.867885198920018,0.0,1702.5910942779121,nan,nan,nan,22.21437945487277,15.000000000000002,7.488645983244034,20.873213711998687,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_OUTDOOR_GUST,outdoor,gust,GustField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,39.94093314459823,39.92610358515164,0.0,1915.9134406509602,nan,nan,nan,22.02605850892846,14.999999999999996,7.50000000277842,21.468407520000255,12000,,nan,nan,,OK,
Tc99m_Q0.5_VOLUMETRIC_OUTDOOR_VORTEX,outdoor,vortex,VortexField,volumetric,3-D volumetric source (75 cells),high,75,Tc-99m,0.5,50.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,230.5933601488423,230.5933601488423,0.0,3714.2507297993684,nan,nan,nan,15.000000000000727,15.000000000000584,7.500000268658915,21.056947959001263,12000,,nan,nan,,OK,
Tc99m_Q0.75_MULTIPLE_POINTS_INDOOR_CLOSED,indoor,closed,IndoorClosedRoom,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,912.7997090794281,912.7997090794281,0.0,5571.375914080621,nan,nan,nan,15.0,15.0,7.50000011111728,62.76819988399984,12000,,nan,nan,,OK,
Tc99m_Q0.75_MULTIPLE_POINTS_INDOOR_LOW_VENTILATION,indoor,low_ventilation,IndoorLowVentilation,multiple_points,5 point sources,high,5,Tc-99m,0.75,75.0,CONTROLLED,"(60, 60, 30)",0.5,0.5,0.5,0.05,600.0,704.3631860101182,704.3631860101182,0.0,5551.8477186969285,nan,nan,nan,14.999446829864736,15.008468652023614,8.223926620649891,62.51061393300006,12000,,nan,nan,,OK,
